data,fonte,submercado,patamar,sistema_orig,pat,sistema_calc,sistema,pmo,erro
2026-01-01,UFV,SUDESTE,3,2075.0,0.7377,1530.7275,1531.0,1531.0,0.0
2026-02-01,UFV,SUDESTE,3,2173.0,0.7546,1639.7458000000001,1640.0,1640.0,0.0
2026-03-01,UFV,SUDESTE,3,2141.0,0.6907,1478.7887,1479.0,1479.0,0.0
2026-04-01,UFV,SUDESTE,3,1901.0,0.7969,1514.9069000000002,1515.0,1515.0,0.0
2026-05-01,UFV,SUDESTE,3,1916.0,0.6711,1285.8276,1286.0,1286.0,0.0
2026-06-01,UFV,SUDESTE,3,1763.0,0.5677,1000.8551,1001.0,1001.0,0.0
2026-07-01,UFV,SUDESTE,3,1912.0,0.6218,1188.8816,1189.0,1189.0,0.0
2026-08-01,UFV,SUDESTE,3,1974.0,0.6159,1215.7866,1216.0,1216.0,0.0
2026-09-01,UFV,SUDESTE,3,2484.0,0.7489,1860.2676000000001,1860.0,1860.0,0.0
2026-10-01,UFV,SUDESTE,3,2138.0,0.7825,1672.985,1673.0,1673.0,0.0
2026-11-01,UFV,SUDESTE,3,2306.0,0.8078,1862.7867999999999,1863.0,1863.0,0.0
2026-12-01,UFV,SUDESTE,3,2051.0,0.7826,1605.1126,1605.0,1605.0,0.0
2027-01-01,UFV,SUDESTE,3,2066.0,0.7412,1531.3192,1531.0,1531.0,0.0
2027-02-01,UFV,SUDESTE,3,2173.0,0.7546,1639.7458000000001,1640.0,1640.0,0.0
2027-03-01,UFV,SUDESTE,3,2141.0,0.6907,1478.7887,1479.0,1479.0,0.0
2027-04-01,UFV,SUDESTE,3,1928.0,0.7941,1531.0248000000001,1531.0,1531.0,0.0
2027-05-01,UFV,SUDESTE,3,1936.0,0.6712,1299.4432,1299.0,1299.0,0.0
2027-06-01,UFV,SUDESTE,3,1797.0,0.5627,1011.1718999999999,1011.0,1011.0,0.0
2027-07-01,UFV,SUDESTE,3,1918.0,0.6264,1201.4352,1201.0,1201.0,0.0
2027-08-01,UFV,SUDESTE,3,2009.0,0.6111,1227.6998999999998,1228.0,1228.0,0.0
2027-09-01,UFV,SUDESTE,3,2509.0,0.7489,1878.9901,1879.0,1879.0,0.0
2027-10-01,UFV,SUDESTE,3,2150.0,0.7857,1689.2549999999999,1689.0,1689.0,0.0
2027-11-01,UFV,SUDESTE,3,2335.0,0.8056,1881.076,1881.0,1881.0,0.0
2027-12-01,UFV,SUDESTE,3,2079.0,0.7801,1621.8279,1622.0,1622.0,0.0
2028-01-01,UFV,SUDESTE,3,2097.0,0.7377,1546.9569000000001,1547.0,1547.0,0.0
2028-02-01,UFV,SUDESTE,3,2199.0,0.7535,1656.9464999999998,1657.0,1657.0,0.0
2028-03-01,UFV,SUDESTE,3,2175.0,0.687,1494.2250000000001,1494.0,1494.0,0.0
2028-04-01,UFV,SUDESTE,3,1907.0,0.8027,1530.7489,1531.0,1531.0,0.0
2028-05-01,UFV,SUDESTE,3,1960.0,0.6629,1299.284,1299.0,1299.0,0.0
2028-06-01,UFV,SUDESTE,3,1781.0,0.5678,1011.2518,1011.0,1011.0,0.0
2028-07-01,UFV,SUDESTE,3,1904.0,0.6311,1201.6144,1202.0,1202.0,0.0
2028-08-01,UFV,SUDESTE,3,2025.0,0.6063,1227.7575,1228.0,1228.0,0.0
2028-09-01,UFV,SUDESTE,3,2496.0,0.7527,1878.7392,1879.0,1879.0,0.0
2028-10-01,UFV,SUDESTE,3,2159.0,0.7826,1689.6334,1690.0,1690.0,0.0
2028-11-01,UFV,SUDESTE,3,2329.0,0.8079,1881.5991,1882.0,1882.0,0.0
2028-12-01,UFV,SUDESTE,3,2058.0,0.7879,1621.4982,1621.0,1621.0,0.0
2024-08-01,PCH MMGD,SUDESTE,1,20.17,1.0,20.17,20.0,20.0,0.0
2024-09-01,PCH MMGD,SUDESTE,1,19.05,1.0,19.05,19.0,19.0,0.0
2024-10-01,PCH MMGD,SUDESTE,1,20.13,1.0,20.13,20.0,20.0,0.0
2024-11-01,PCH MMGD,SUDESTE,1,26.35,1.0,26.35,26.0,26.0,0.0
